iter	RMSE
0	1.528578094
1	1.407613628
2	1.306973365
3	1.222400746
4	1.151103783
5	1.090534535
6	1.041279718
7	0.9986476929
8	0.9632675979
9	0.9337906877
10	0.9061010015
11	0.8853333711
12	0.8673153926
13	0.8508072319
14	0.8353367062
15	0.824346757
16	0.8129685141
17	0.8015525804
18	0.7940860862
19	0.7863015928
20	0.77979931
21	0.7731240431
22	0.7665075393
23	0.7627600338
24	0.7589849334
25	0.7544864156
26	0.7506654653
27	0.7460893793
28	0.7429738017
29	0.7392540537
30	0.7373574079
31	0.7328880774
32	0.730400752
33	0.72673568
34	0.7248192587
35	0.7231792894
36	0.7198718372
37	0.7184017938
38	0.7170965321
39	0.7126296
40	0.7111332074
41	0.7092770584
42	0.7070703019
43	0.7059150264
44	0.7048988791
45	0.7039494177
46	0.7017854696
47	0.7000854747
48	0.697872422
49	0.6970009617
50	0.6949540929
51	0.6936527591
52	0.6923395308
53	0.6839783645
54	0.682883021
55	0.6820668045
56	0.6675606782
57	0.6659697593
58	0.6640607129
59	0.6624653318
60	0.6609359383
61	0.6526349946
62	0.6518045058
63	0.6508408929
64	0.6489149147
65	0.6474796558
66	0.6461377875
67	0.645102843
68	0.6443847904
69	0.6433941187
70	0.636438301
71	0.6358693566
72	0.633893876
73	0.6323937558
74	0.6307826154
75	0.6299445688
76	0.6292660064
77	0.6279754116
78	0.6271273112
79	0.6264542557
80	0.6247672729
81	0.6235994463
82	0.6227769527
83	0.6220775549
84	0.6212882569
85	0.6208281366
86	0.6184290603
87	0.6178543258
88	0.6165555339
89	0.6155770586
90	0.6148611453
91	0.6138997491
92	0.6109866312
93	0.6103192719
94	0.6096885598
95	0.6068648998
96	0.6048970625
97	0.6037591001
98	0.5952027356
99	0.5913376701
100	0.5906020268
101	0.5897253482
102	0.5889231975
103	0.5883392432
104	0.5876020577
105	0.5869288249
106	0.586342361
107	0.5853257756
108	0.5848940728
109	0.5842116669
110	0.5835094373
111	0.5820688377
112	0.5816395708
113	0.5811659139
114	0.5803191442
115	0.5777557157
116	0.5771421261
117	0.5765785637
118	0.5761904419
119	0.5755974166
120	0.5740054077
121	0.5732095913
122	0.572618947
123	0.5723523002
124	0.5711814052
125	0.5706105912
126	0.5700705565
127	0.5691958662
128	0.5681063523
129	0.5677311286
130	0.5667627012
131	0.5666106584
132	0.5662497209
133	0.5610539882
134	0.5591195885
135	0.558582642
136	0.5579277248
137	0.5538716081
138	0.5531171596
139	0.5526187181
140	0.5512782626
141	0.5504413557
142	0.5501273565
143	0.5498397214
144	0.5486329229
145	0.5482472097
146	0.54768432
147	0.5463919996
148	0.5458444432
149	0.5455537834
150	0.5452660236
151	0.5448724625
152	0.5443364237
153	0.5434953709
154	0.5431034631
155	0.5426628381
156	0.5421733504
157	0.541516423
158	0.5410596797
159	0.5404416433
160	0.539270208
161	0.538808902
162	0.5359693156
163	0.5356208149
164	0.535317209
165	0.5348454051
166	0.5344331211
167	0.5339659041
168	0.5334050303
169	0.5330715589
170	0.5326731753
171	0.5322428787
172	0.5318806209
173	0.5315169676
174	0.5311026587
175	0.5304356773
176	0.5300917397
177	0.5293972224
178	0.5291342268
179	0.5289227038
180	0.5283780912
181	0.5277986081
182	0.5275120951
183	0.5272873606
184	0.5270218786
185	0.5265317317
186	0.5260559239
187	0.5257589996
188	0.5252835672
189	0.525024358
190	0.5247084431
191	0.5241112211
192	0.523797015
193	0.5235085778
194	0.5229023485
195	0.522679481
196	0.5219800193
197	0.5217317656
198	0.5215072757
199	0.5213241591
200	0.5209235968
201	0.5207003278
202	0.5204583331
203	0.5201732211
204	0.5179571304
205	0.5176787367
206	0.5166230052
207	0.5163596418
208	0.5157672099
209	0.5155961785
210	0.5153906698
211	0.5152259912
212	0.5148698882
213	0.5143023174
214	0.5138579381
215	0.5136903939
216	0.5134206351
217	0.5131533633
218	0.5129464007
219	0.5127877327
220	0.5125345072
221	0.5123829995
222	0.5118419729
223	0.5117308676
224	0.5115827308
225	0.5113316976
226	0.5110936524
227	0.5106218606
228	0.5103748713
229	0.5100657146
230	0.50961674
231	0.5091163077
232	0.5086192014
233	0.5083597238
234	0.5075870855
235	0.5074030448
236	0.5072007425
237	0.5067073808
238	0.5063369856
239	0.50609921
240	0.5055713351
241	0.505346459
242	0.5052195632
243	0.5044334145
244	0.504134673
245	0.503771059
246	0.5035065733
247	0.5032560987
248	0.5030918333
249	0.5028139031
250	0.5024646716
251	0.5021891321
252	0.5018477181
253	0.5016946128
254	0.5015520128
255	0.5013078141
256	0.5009522524
257	0.500260448
258	0.4999624956
259	0.4997537203
260	0.499586534
261	0.4994581225
262	0.4992002191
263	0.4989067127
264	0.4986844689
265	0.4983266478
266	0.4982303019
267	0.497760837
268	0.4975866166
269	0.4974502066
270	0.4968989875
271	0.4965212998
272	0.4964235255
273	0.49624127
274	0.4961126218
275	0.495880778
276	0.4955158747
277	0.4952120071
278	0.4950334989
279	0.4948236125
280	0.4946651665
281	0.4945035258
282	0.4942780049
283	0.4941658572
284	0.4939910648
285	0.4938380249
286	0.4935862626
287	0.4932952009
288	0.4931157214
289	0.4929441972
290	0.4928364545
291	0.492670849
292	0.4925502728
293	0.4924272624
294	0.492262689
295	0.4921351629
296	0.491921978
297	0.4916410575
298	0.4914901181
299	0.4914165225
300	0.4911917207
301	0.4910462078
302	0.4908371628
303	0.4894034341
304	0.4888056637
305	0.4886342416
306	0.4884482359
307	0.4883083703
308	0.4880858196
309	0.4877756173
310	0.4875856737
311	0.487503849
312	0.4874554349
313	0.4872084074
314	0.4868733136
315	0.4858196184
316	0.4856607279
317	0.485509783
318	0.4853811255
319	0.485244598
320	0.4851561489
321	0.4848697277
322	0.4846707262
323	0.484467797
324	0.4843398408
325	0.4841696068
326	0.4840642135
327	0.4838383079
328	0.4835519395
329	0.483325786
330	0.4828369722
331	0.4826852441
332	0.4825282717
333	0.4823487107
334	0.4822629889
335	0.4820763376
336	0.4819113009
337	0.4817475456
338	0.4816031802
339	0.4814762149
340	0.4813923119
341	0.481127395
342	0.4809834473
343	0.4808766518
344	0.4806129607
345	0.4804617914
346	0.4803111673
347	0.480227259
348	0.4800138032
349	0.4798878946
350	0.4797580493
351	0.4796254522
352	0.47947498
353	0.4792278245
354	0.4791322259
355	0.4788896433
356	0.4787684425
357	0.4783326879
358	0.4781399632
359	0.4780133102
360	0.4779047348
361	0.4777251714
362	0.4775691493
363	0.4771802956
364	0.4770799134
365	0.476961035
366	0.4767774663
367	0.4765520054
368	0.4761991646
369	0.4760150112
370	0.4759198742
371	0.475819775
372	0.475715091
373	0.4756326939
374	0.475378531
375	0.4752307541
376	0.4750064347
377	0.4748534756
378	0.4747841579
379	0.4746680261
380	0.474490814
381	0.4740539808
382	0.4735442794
383	0.4734409305
384	0.4733426041
385	0.4732162401
386	0.4731404423
387	0.4730192954
388	0.4729088431
389	0.4727028583
390	0.4719550385
391	0.4717584487
392	0.4716125229
393	0.4715407839
394	0.4712698693
395	0.4711854733
396	0.4710901859
397	0.471007941
398	0.4708561887
399	0.4701206514
400	0.469996084
401	0.4696687941
402	0.4696003699
403	0.4694008197
404	0.4693258323
405	0.4692703596
406	0.469188979
407	0.4689245251
408	0.4688157222
409	0.4687009851
410	0.4685561157
411	0.4684987458
412	0.4683527488
413	0.4682450154
414	0.46816114
415	0.46807259
416	0.4679325252
417	0.4677940426
418	0.4676371819
419	0.467534747
420	0.4674283969
421	0.4672300866
422	0.4671150644
423	0.4670042151
424	0.4669264755
425	0.4668073752
426	0.4667271865
427	0.4662326179
428	0.4659862337
429	0.4658562559
430	0.465751836
431	0.4656437309
432	0.4655992332
433	0.4654925409
434	0.4653700416
435	0.4651712144
436	0.4650691391
437	0.4650197334
438	0.4646635605
439	0.4645554132
440	0.4643495661
441	0.4641743932
442	0.4641137639
443	0.4639703438
444	0.4638638246
445	0.4637423401
446	0.4635827202
447	0.4634810741
448	0.4634317773
449	0.4633711692
450	0.4632878571
451	0.4630426054
452	0.4630054768
453	0.462853107
454	0.4627943295
455	0.4626955782
456	0.4626626932
457	0.4625831166
458	0.4624887857
459	0.4623988498
460	0.4621667014
461	0.4620151203
462	0.4616515953
463	0.4615844585
464	0.4615072536
465	0.461436206
466	0.4613271712
467	0.461219234
468	0.460947574
469	0.4608343354
470	0.4607576876
471	0.4607120337
472	0.4606320836
473	0.4605789898
474	0.4604812774
475	0.4604100196
476	0.4602823589
477	0.4601401755
478	0.4601013018
479	0.4599908072
480	0.4598497958
481	0.4597045558
482	0.4596430773
483	0.4595098506
484	0.4593916321
485	0.4592170595
486	0.4591329845
487	0.4589855287
488	0.4589034598
489	0.4588270524
490	0.4585033068
491	0.4584684579
492	0.4583856443
493	0.4582639192
494	0.4581829562
495	0.4581489779
496	0.4578669791
497	0.4577621137
498	0.4576500436
499	0.4575402756
500	0.4574550877
501	0.457361498
502	0.4572227571
503	0.4571723301
504	0.4570787296
505	0.4570218912
506	0.4567812
507	0.4564912455
508	0.4564227968
509	0.4561658729
510	0.4560784276
511	0.4559637612
512	0.4558976695
513	0.4558215475
514	0.4557765589
515	0.4556931713
516	0.4555964281
517	0.455537032
518	0.4554013429
519	0.4552930661
520	0.4552066476
521	0.4551444086
522	0.4550920834
523	0.45505368
524	0.4548569859
525	0.4547799021
526	0.454742733
527	0.4546917627
528	0.4546066537
529	0.4545184265
530	0.4544451357
531	0.4544028262
532	0.4542955373
533	0.4541999046
534	0.4540896927
535	0.4540312055
536	0.4539656496
537	0.4539184102
538	0.4538503816
539	0.4537035009
540	0.4536052566
541	0.4533962449
542	0.4533404302
543	0.4532519001
544	0.4531684995
545	0.4530771125
546	0.4530031041
547	0.4529045296
548	0.4528605826
549	0.4527916188
550	0.4527709534
551	0.4526623205
552	0.452598363
553	0.452539117
554	0.452456583
555	0.4523912278
556	0.4523400111
557	0.452246973
558	0.4521850269
559	0.4521016448
560	0.4520257298
561	0.4519863308
562	0.4517643542
563	0.4517256477
564	0.4516778435
565	0.4516185207
566	0.4515539875
567	0.451487308
568	0.4513707229
569	0.4513413832
570	0.4510716221
571	0.4509632056
572	0.4509113904
573	0.4508658962
574	0.4507668745
575	0.4506977611
576	0.450638086
577	0.4505247382
578	0.4504678364
579	0.4503100085
580	0.4502501006
581	0.4501991273
582	0.4501009413
583	0.4500181169
584	0.4499191052
585	0.4498854748
586	0.4498009063
587	0.4497606708
588	0.4497056976
589	0.4496727592
590	0.4496304484
591	0.4495661257
592	0.4495078911
593	0.4494636748
594	0.4494206213
595	0.4493385347
596	0.449283777
597	0.44922156
598	0.4491868136
599	0.4491162951
600	0.4490202717
601	0.4489756257
602	0.4489364746
603	0.4488685383
604	0.4488021152
605	0.4487654177
606	0.4486356644
607	0.4486056791
608	0.4484468544
609	0.4483931304
610	0.4483637119
611	0.4482712108
612	0.4481899886
613	0.4481498811
614	0.4480935484
615	0.4480669286
616	0.4480021962
617	0.4479635667
618	0.4478999651
619	0.4478631716
620	0.4478041432
621	0.4477469491
622	0.4477010731
623	0.4476290015
624	0.4475458638
625	0.4475229016
626	0.4474530679
627	0.4474052019
628	0.4473127709
629	0.4471939402
630	0.4471179629
631	0.4470702503
632	0.4469014305
633	0.4468745696
634	0.4467901902
635	0.4467551456
636	0.4466485045
637	0.4465693241
638	0.4465410414
639	0.4464549738
640	0.4463341204
