,Counter Name,Disruption,Distance (m),Intensity,Start Date,End Date
0,Pont des Invalides S-N,CP002471,198.695427767061,2.0,2023-04-06,2023-05-05
1,Pont des Invalides N-S,CP002471,194.1322207170893,2.0,2023-04-06,2023-05-05
2,Totem Cours la Reine E-O,CP002514,165.52642007143925,1.0,2023-07-03,2023-08-01
3,Totem Cours la Reine E-O,CP002497,71.79493055651363,1.0,2023-06-01,2023-07-31
4,Totem Cours la Reine E-O,CP002525,181.57387565620178,2.0,2023-07-10,2023-08-31
5,Totem Cours la Reine O-E,CP002514,165.52642007143925,1.0,2023-07-03,2023-08-01
6,Totem Cours la Reine O-E,CP002497,71.79493055651363,1.0,2023-06-01,2023-07-31
7,Totem Cours la Reine O-E,CP002525,181.57387565620178,2.0,2023-07-10,2023-08-31
8,254 rue de Vaugirard NE-SO,CP002466,61.48709954877331,2.0,2023-02-23,2023-07-01
9,254 rue de Vaugirard SO-NE,CP002466,61.48709954877331,2.0,2023-02-23,2023-07-01
