date,t,rr1,rr3,rr6,ff,raf10,rafper,u,vv,n,cl,cm,ch,day,week,precipitation,cloudy_day
2021-01-01 00:00:00,272.75,0.0,0.0,0.0,1.8,2.5,2.5,96,990,10.0,35.0,20.0,10.0,2021-01-01,53,0,0
2021-01-01 03:00:00,271.25,0.0,0.0,0.0,1.7,2.2,2.2,98,210,25.0,35.0,23.0,10.0,2021-01-01,53,0,0
2021-01-01 06:00:00,271.95,0.0,0.0,0.0,2.6,3.2,3.2,98,3660,90.0,35.0,27.0,10.0,2021-01-01,53,0,0
2021-01-01 09:00:00,272.45,0.0,0.2,0.2,1.7,2.3,2.3,97,3500,50.0,35.0,23.0,10.0,2021-01-01,53,0,0
2021-01-01 12:00:00,276.95,0.0,0.0,0.2,1.0,2.5,4.4,82,8000,90.0,38.0,23.2,10.0,2021-01-01,53,0,0
2021-01-01 15:00:00,276.55,0.0,0.0,0.0,1.9,3.1,4.0,73,15000,90.0,30.0,23.0,10.0,2021-01-01,53,0,0
2021-01-01 18:00:00,275.05,0.0,0.0,0.0,0.0,1.1,1.9,80,16580,100.0,34.714285714285715,23.2,10.0,2021-01-01,53,0,0
2021-01-01 21:00:00,272.75,0.0,0.0,0.0,0.6,1.0,2.5,93,16000,90.0,35.0,23.2,10.0,2021-01-01,53,0,0
2021-01-02 00:00:00,272.85,0.0,0.0,0.0,1.4,2.0,2.0,93,12000,60.0,35.0,20.0,10.0,2021-01-02,53,0,0
2021-01-02 03:00:00,271.05,0.0,0.0,0.0,1.2,1.6,1.6,96,3210,0.0,30.0,20.0,10.0,2021-01-02,53,0,0
2021-01-02 06:00:00,270.95,0.0,0.0,0.0,1.0,1.2,1.2,96,2340,0.0,30.0,20.0,10.0,2021-01-02,53,0,0
2021-01-02 09:00:00,272.05,0.0,0.0,0.0,1.4,1.9,3.1,95,8000,10.0,30.0,20.0,11.0,2021-01-02,53,0,0
2021-01-02 12:00:00,276.75,0.0,0.0,0.0,1.9,3.4,3.4,79,9000,40.0,38.0,20.0,10.0,2021-01-02,53,0,0
2021-01-02 15:00:00,277.45,0.0,0.0,0.0,2.4,5.6,5.6,78,8910,75.0,38.0,20.0,10.0,2021-01-02,53,0,0
2021-01-02 18:00:00,275.05,0.0,0.0,0.0,1.6,2.0,4.7,93,5070,100.0,35.0,20.0,10.166666666666666,2021-01-02,53,0,0
2021-01-02 21:00:00,274.55,0.0,0.0,0.0,0.9,1.5,1.5,95,2020,90.0,38.0,20.0,10.166666666666666,2021-01-02,53,0,0
2021-01-03 00:00:00,274.65,0.0,0.0,0.0,0.8,1.4,1.4,96,1650,100.0,35.0,24.28333333333333,14.277777777777779,2021-01-03,53,0,0
2021-01-03 03:00:00,274.45,0.0,0.0,0.0,1.4,1.9,2.4,97,1040,100.0,36.0,24.28333333333333,14.277777777777779,2021-01-03,53,0,0
2021-01-03 06:00:00,274.65,0.0,0.0,0.0,0.0,1.4,1.4,97,1040,100.0,36.0,24.28333333333333,14.277777777777779,2021-01-03,53,0,0
2021-01-03 09:00:00,275.25,0.0,0.0,0.0,0.9,1.8,2.5,94,5380,100.0,35.0,24.28333333333333,14.277777777777779,2021-01-03,53,0,0
2021-01-03 12:00:00,276.85,0.0,0.0,0.0,1.7,3.2,4.4,80,12000,90.0,38.0,24.28333333333333,14.277777777777779,2021-01-03,53,0,0
2021-01-03 15:00:00,276.55,0.0,0.0,0.0,3.5,6.2,6.2,77,12290,90.0,38.0,24.28333333333333,14.277777777777779,2021-01-03,53,0,0
2021-01-03 18:00:00,276.45,0.0,0.0,0.0,4.6,8.5,8.5,79,10000,90.0,38.0,24.28333333333333,14.277777777777779,2021-01-03,53,0,0
2021-01-03 21:00:00,275.65,0.0,0.0,0.0,4.3,6.6,7.8,89,5070,100.0,35.0,24.28333333333333,14.277777777777779,2021-01-03,53,0,0
2021-01-04 00:00:00,275.65,0.0,0.0,0.0,4.4,6.3,7.2,88,5070,100.0,37.0,20.0,10.11111111111111,2021-01-04,1,0,0
2021-01-04 03:00:00,275.55,0.0,0.0,0.0,4.2,6.6,7.0,87,5070,100.0,35.0,20.0,10.11111111111111,2021-01-04,1,0,0
2021-01-04 06:00:00,275.55,0.0,0.0,0.0,3.7,5.9,8.0,87,8000,100.0,35.0,20.0,10.11111111111111,2021-01-04,1,0,0
2021-01-04 09:00:00,275.25,0.0,0.0,0.0,4.8,7.1,7.3,93,5580,100.0,37.0,20.0,10.11111111111111,2021-01-04,1,0,0
2021-01-04 12:00:00,275.85,0.0,0.0,0.0,3.6,5.1,5.7,88,7110,100.0,35.0,20.0,10.11111111111111,2021-01-04,1,0,0
2021-01-04 15:00:00,276.15,0.0,0.0,0.0,4.1,5.7,7.3,85,8050,100.0,35.0,20.0,10.11111111111111,2021-01-04,1,0,0
2021-01-04 18:00:00,276.05,0.0,0.0,0.0,4.4,6.5,7.0,83,11480,90.0,35.0,20.0,10.11111111111111,2021-01-04,1,0,0
2021-01-04 21:00:00,275.85,0.0,0.0,0.0,3.8,5.9,7.7,84,14750,100.0,35.57142857142857,20.0,10.11111111111111,2021-01-04,1,0,0
2021-01-05 00:00:00,275.75,0.0,0.0,0.0,5.1,7.4,8.1,86,9000,100.0,35.0,20.0,10.11111111111111,2021-01-05,1,0,0
2021-01-05 03:00:00,275.55,0.0,0.0,0.0,4.6,6.3,6.5,86,7700,100.0,35.0,20.0,10.11111111111111,2021-01-05,1,0,0
2021-01-05 06:00:00,275.35,0.0,0.0,0.0,4.1,6.0,8.5,92,5070,100.0,37.0,20.0,10.11111111111111,2021-01-05,1,0,0
2021-01-05 09:00:00,275.55,0.0,0.0,0.0,4.8,6.7,7.4,90,5070,100.0,37.0,20.0,10.11111111111111,2021-01-05,1,0,0
2021-01-05 12:00:00,275.65,0.0,0.0,0.0,4.7,6.9,7.1,87,6230,100.0,35.0,20.0,10.11111111111111,2021-01-05,1,0,0
2021-01-05 15:00:00,275.95,0.0,0.0,0.0,3.9,5.8,7.1,85,7000,100.0,35.0,20.0,10.11111111111111,2021-01-05,1,0,0
2021-01-05 18:00:00,276.05,0.0,0.0,0.0,4.6,6.7,8.1,84,7000,100.0,35.0,20.0,10.11111111111111,2021-01-05,1,0,0
2021-01-05 21:00:00,275.75,0.0,0.0,0.0,3.7,5.7,7.0,86,5400,100.0,35.0,20.0,10.11111111111111,2021-01-05,1,0,0
2021-01-06 00:00:00,275.35,0.0,0.0,0.0,3.5,5.1,7.0,92,3830,100.0,37.0,20.0,10.11111111111111,2021-01-06,1,0,0
2021-01-06 03:00:00,275.75,0.0,0.0,0.0,2.9,4.6,5.0,89,4650,100.0,37.0,20.0,10.11111111111111,2021-01-06,1,0,0
2021-01-06 06:00:00,275.65,0.0,0.0,0.0,3.2,6.4,6.4,89,5070,100.0,35.0,20.0,10.11111111111111,2021-01-06,1,0,0
2021-01-06 09:00:00,275.95,0.0,0.0,0.0,2.8,4.9,8.2,85,7700,100.0,35.0,20.0,10.11111111111111,2021-01-06,1,0,0
2021-01-06 12:00:00,276.25,0.0,0.4,0.4,2.0,3.5,5.4,87,8000,100.0,35.0,20.0,10.11111111111111,2021-01-06,1,0,0
2021-01-06 15:00:00,276.75,0.0,0.0,0.4,3.2,4.7,4.7,86,7000,100.0,35.0,20.0,10.11111111111111,2021-01-06,1,0,0
2021-01-06 18:00:00,276.75,0.0,0.0,0.0,1.7,2.6,7.0,88,6480,100.0,35.0,20.0,10.11111111111111,2021-01-06,1,0,0
2021-01-06 21:00:00,276.65,0.0,0.0,0.0,2.2,3.2,5.3,88,10000,100.0,35.0,20.0,10.11111111111111,2021-01-06,1,0,0
2021-01-07 00:00:00,276.65,0.0,0.0,0.0,3.1,4.8,4.9,91,8000,100.0,35.0,20.0,10.11111111111111,2021-01-07,1,0,0
2021-01-07 03:00:00,275.95,0.0,0.0,0.0,2.5,4.6,5.1,90,10000,100.0,35.0,20.0,10.11111111111111,2021-01-07,1,0,0
2021-01-07 06:00:00,274.75,0.0,0.0,0.0,1.6,2.7,3.4,93,6480,90.0,38.0,20.0,10.11111111111111,2021-01-07,1,0,0
2021-01-07 09:00:00,275.45,0.0,0.0,0.0,2.5,4.5,4.5,95,3590,90.0,38.0,20.0,10.11111111111111,2021-01-07,1,0,0
2021-01-07 12:00:00,276.15,0.0,0.0,0.0,2.5,3.8,7.0,90,4800,90.0,36.0,20.0,10.11111111111111,2021-01-07,1,0,0
2021-01-07 15:00:00,276.95,0.0,0.0,0.0,2.1,3.1,4.1,81,15490,90.0,38.0,20.0,10.11111111111111,2021-01-07,1,0,0
2021-01-07 18:00:00,275.45,0.0,0.0,0.0,2.5,3.5,4.9,89,20000,90.0,38.0,20.0,10.11111111111111,2021-01-07,1,0,0
2021-01-07 21:00:00,275.35,0.0,0.0,0.0,2.5,4.8,4.9,88,25000,90.0,38.0,20.0,10.11111111111111,2021-01-07,1,0,0
2021-01-08 00:00:00,274.75,0.0,0.0,0.0,1.4,2.0,4.1,91,20000,90.0,35.0,20.0,10.0,2021-01-08,1,0,0
2021-01-08 03:00:00,274.15,0.0,0.0,0.0,1.5,2.3,3.7,93,8000,90.0,35.0,20.0,10.0,2021-01-08,1,0,0
2021-01-08 06:00:00,272.95,0.0,0.0,0.0,2.6,3.5,4.5,92,6480,40.0,35.0,20.0,10.0,2021-01-08,1,0,0
2021-01-08 09:00:00,274.85,0.0,0.0,0.0,1.6,2.5,2.5,89,20000,75.0,35.0,20.0,10.0,2021-01-08,1,0,0
2021-01-08 12:00:00,276.15,0.0,0.0,0.0,2.2,3.6,3.8,82,20000,90.0,35.0,20.0,10.0,2021-01-08,1,0,0
2021-01-08 15:00:00,276.95,0.0,0.0,0.0,0.8,1.5,3.5,77,25000,90.0,38.0,20.0,10.0,2021-01-08,1,0,0
2021-01-08 18:00:00,276.15,0.0,0.0,0.0,0.9,1.5,2.8,83,25000,90.0,35.0,20.0,10.0,2021-01-08,1,0,0
2021-01-08 21:00:00,272.55,0.0,0.0,0.0,0.9,1.4,1.4,91,5620,80.71428571428571,35.42857142857143,20.0,10.0,2021-01-08,1,0,0
2021-01-09 00:00:00,272.55,0.0,0.0,0.0,0.9,1.0,1.8,95,5070,0.0,30.0,20.0,10.0,2021-01-09,1,0,0
2021-01-09 03:00:00,271.85,0.0,0.0,0.0,0.0,0.9,2.1,94,3900,0.0,30.0,20.0,10.0,2021-01-09,1,0,0
2021-01-09 06:00:00,272.65,0.0,0.0,0.0,4.2,7.2,7.6,90,10000,90.0,35.0,20.0,10.333333333333334,2021-01-09,1,0,0
2021-01-09 09:00:00,273.35,0.0,0.0,0.0,3.1,6.0,6.0,94,6000,90.0,36.0,20.0,10.333333333333334,2021-01-09,1,0,0
2021-01-09 12:00:00,276.25,0.0,0.0,0.0,5.2,8.1,8.9,75,14000,10.0,35.0,20.0,11.0,2021-01-09,1,0,0
2021-01-09 15:00:00,276.85,0.0,0.0,0.0,6.3,9.7,11.2,72,14580,50.0,31.0,20.0,11.0,2021-01-09,1,0,0
2021-01-09 18:00:00,274.45,0.0,0.0,0.0,4.4,6.4,8.0,86,16000,10.0,34.0,20.0,10.0,2021-01-09,1,0,0
2021-01-09 21:00:00,273.55,0.0,0.0,0.0,4.7,7.8,8.8,88,16000,0.0,30.0,20.0,10.0,2021-01-09,1,0,0
2021-01-10 00:00:00,272.95,0.0,0.0,0.0,3.7,6.1,7.0,94,10000,90.0,36.0,20.0,10.0,2021-01-10,1,0,0
2021-01-10 03:00:00,272.65,0.0,0.0,0.0,3.6,5.7,6.6,94,5070,60.0,36.0,20.0,10.0,2021-01-10,1,0,0
2021-01-10 06:00:00,272.75,0.0,0.0,0.0,3.8,6.6,6.6,94,5070,90.0,36.0,20.0,10.0,2021-01-10,1,0,0
2021-01-10 09:00:00,273.05,0.0,0.0,0.0,3.3,4.8,7.7,93,7000,10.0,36.0,20.0,10.0,2021-01-10,1,0,0
2021-01-10 12:00:00,276.05,0.0,0.0,0.0,3.6,5.2,7.3,77,11000,0.0,30.0,20.0,10.0,2021-01-10,1,0,0
2021-01-10 15:00:00,277.25,0.0,0.0,0.0,4.6,6.8,7.1,62,26490,10.0,31.0,20.0,10.0,2021-01-10,1,0,0
2021-01-10 18:00:00,273.65,0.0,0.0,0.0,2.2,3.6,4.8,79,15000,0.0,30.0,20.0,10.0,2021-01-10,1,0,0
2021-01-10 21:00:00,272.05,0.0,0.0,0.0,2.2,5.4,5.4,93,15000,10.0,35.0,20.0,10.0,2021-01-10,1,0,0
2021-01-11 00:00:00,271.25,0.0,0.0,0.0,1.6,2.4,2.4,93,12000,0.0,30.0,20.0,10.0,2021-01-11,2,0,0
2021-01-11 03:00:00,271.15,0.0,0.0,0.0,2.0,2.5,2.7,95,320,50.0,35.0,20.0,10.0,2021-01-11,2,0,0
2021-01-11 06:00:00,272.75,0.0,0.0,0.0,1.9,2.8,3.2,96,8000,90.0,35.0,20.0,10.0,2021-01-11,2,0,0
