commune,code_insee,localisation,comp_loc,nom_velib,id_velib,nb_borne,etat,id,commune_min,groupement,geo_point_2d,latitude,longitude
ISSY-LES-MOULINEAUX,92040,111  QUAI DU PRESIDENT ROOSEVELT,,Président Roosevelt - Rouget de Lisle,21320.0,40.0,En travaux,VELIB86,Issy-les-Moulineaux,BB/ILM/VAN,"['48.83026567453335', '2.261621505319768']",48.83026567453335,2.261621505319768
CHAVILLE,92022,34  RUE CARNOT,,Gare de Chaville Rive Droite,23704.0,21.0,En projet,VELIB87,Chaville,CHA/MEU/SEV/VDA,"['48.81227798329796', '2.1874090748015687']",48.81227798329796,2.1874090748015687
ISSY-LES-MOULINEAUX,92040,19  COURS SAINT VINCENT,Entre le 19 et 21,Saint-Vincent - Verdun,21301.0,34.0,En service,VELIB6,Issy-les-Moulineaux,BB/ILM/VAN,"['48.819394801727675', '2.2538643558555695']",48.819394801727675,2.2538643558555695
BOULOGNE-BILLANCOURT,92012,128  RUE LES ENFANTS DU PARADIS,,Enfants du Paradis - Peupliers,21021.0,40.0,En service,VELIB8,Boulogne-Billancourt,BB/ILM/VAN,"['48.832995802764955', '2.2568941505146958']",48.832995802764955,2.2568941505146958
VILLE D'AVRAY,92077,RUE DE VERSAILLES,EMPLACEMENT A DEFINIR,Rue de Versailles,,,En projet,VELIB5,Ville-d'Avray,CHA/MEU/SEV/VDA,"['48.822105240356606', '2.1828752063144403']",48.822105240356606,2.1828752063144403
BOULOGNE-BILLANCOURT,92012,118  RUE DU POINT DU JOUR,,Point du Jour - Jean Jaurès,21016.0,26.0,En service,VELIB32,Boulogne-Billancourt,BB/ILM/VAN,"['48.82876064376757', '2.245920556952464']",48.82876064376757,2.245920556952464
ISSY-LES-MOULINEAUX,92040,ESPLANADE DU FONCET,,Esplanade du Foncet - Camille Desmoulins,21319.0,28.0,En service,VELIB40,Issy-les-Moulineaux,BB/ILM/VAN,"['48.82690287392757', '2.260847190376471']",48.82690287392757,2.260847190376471
ISSY-LES-MOULINEAUX,92040,PARVIS CORENTIN CELTON,,Parvis Corentin Celton,21311.0,55.0,En service,VELIB30,Issy-les-Moulineaux,BB/ILM/VAN,"['48.82743958871435', '2.2785556348866893']",48.82743958871435,2.2785556348866893
CHAVILLE,92022,961  AVENUE ROGER SALENGRO,Contre-allée,Parvis Robert Schuman - Roger Salengro,23701.0,24.0,En service,VELIB53,Chaville,CHA/MEU/SEV/VDA,"['48.81267243865578', '2.19219993358291']",48.81267243865578,2.19219993358291
ISSY-LES-MOULINEAUX,92040,RUE ERNEST RENAN,,RUE ERNEST ERNAN - MANUFACTURE,21324.0,,En projet,VELIB78,Issy-les-Moulineaux,BB/ILM/VAN,"['48.82844898414118', '2.2816733976127126']",48.82844898414118,2.2816733976127126
ISSY-LES-MOULINEAUX,92040,34  RUE JULES GUESDE,,Jules Guesdes - Général de Gaulle,21315.0,24.0,En service,VELIB66,Issy-les-Moulineaux,BB/ILM/VAN,"['48.8192986565175', '2.278931843470747']",48.8192986565175,2.278931843470747
SEVRES,92072,RUE GEORGES BONNEFOUS,,Sèvres Rive Gauche,23105.0,33.0,En service,VELIB69,Sèvres,CHA/MEU/SEV/VDA,"['48.821440393941174', '2.2144191277749994']",48.821440393941174,2.2144191277749994
BOULOGNE-BILLANCOURT,92012,91  BOULEVARD DE LA REPUBLIQUE,,Place Marcel Sembat,21017.0,56.0,En service,VELIB61,Boulogne-Billancourt,BB/ILM/VAN,"['48.833284237951794', '2.2443318672017774']",48.833284237951794,2.2443318672017774
ISSY-LES-MOULINEAUX,92040,PLACE JACQUES MADAULE,,Place Jacques Madaule,21305.0,25.0,En service,VELIB16,Issy-les-Moulineaux,BB/ILM/VAN,"['48.823927512972226', '2.260642419928666']",48.823927512972226,2.260642419928666
BOULOGNE-BILLANCOURT,92012,PLACE DENFERT ROCHEREAU,,Place Denfert-Rochereau,21002.0,20.0,En service,VELIB13,Boulogne-Billancourt,BB/ILM/VAN,"['48.84326225603825', '2.2459574464701517']",48.84326225603825,2.2459574464701517
BOULOGNE-BILLANCOURT,92012,55  BOULEVARD JEAN JAURES,,Jean Jaurès - Reine,21004.0,31.0,En service,VELIB14,Boulogne-Billancourt,BB/ILM/VAN,"['48.840173555430965', '2.239854220977396']",48.840173555430965,2.239854220977396
ISSY-LES-MOULINEAUX,92040,23  RUE BARA,,Bara - Henri Farman,21308.0,36.0,En service,VELIB17,Issy-les-Moulineaux,BB/ILM/VAN,"['48.83326283734499', '2.267734426771334']",48.83326283734499,2.267734426771334
BOULOGNE-BILLANCOURT,92012,51  RUE FESSART,,Fessart - Château,21030.0,20.0,En service,VELIB52,Boulogne-Billancourt,BB/ILM/VAN,"['48.84238675652284', '2.2398652177209417']",48.84238675652284,2.2398652177209417
