Feature,Importance
hour_2,0.08042287278041177
hour_1,0.08004089380141313
hour_0,0.07577326568108568
hour_3,0.07516782315860418
hour_23,0.0633240625878275
hour_4,0.05235410202854606
hour_22,0.05007236681553529
counter_age,0.041117525268765914
counter_name_28 boulevard Diderot E-O,0.03534909709323768
hour_21,0.029041367362178994
hour_5,0.020979221375968648
hour_20,0.019948846070728873
latitude,0.016654457596965454
counter_technical_id_Y2H19070377,0.01644311370769445
site_name_Face au 40 quai D'Issy,0.01536606105758717
longitude,0.015089668987659227
counter_technical_id_YTH19111510,0.012612551495441673
day_of_week_6,0.011920053489858686
site_name_Totem 73 boulevard de Sébastopol,0.011415448686032687
t,0.01059939476242608
temp_lag_1,0.008842106507928445
t_lag_3,0.008519149947669577
t_lag_1,0.008277869465709561
tend24,0.007506775986525167
t_lag_2,0.007101766771883432
hour_19,0.00699313577886414
day_of_week_5,0.0068255560441613395
distance_to_nearest_velib,0.00669834621187032
td,0.006525543448034652
counter_technical_id_YTH19037970,0.006506031275126099
counter_technical_id_Y2H20073268,0.006302901255223528
temp_humidity_interaction,0.0062156152396183875
hour_6,0.006028990989661321
wind_x,0.0056213781629182325
site_name_20 Avenue de Clichy,0.005273719891220267
site_name_Totem 64 Rue de Rivoli,0.005078894134765477
vv,0.0050540314123762465
tend,0.004887211322306965
wind_y,0.004756411704355603
hour_7,0.004480550783054841
month_2,0.004106740821397568
u_lag_3,0.003416845195835245
hbas,0.0034077572502386926
u,0.003189066728997057
rr24,0.003017617041185487
rafper,0.002977276332247592
n,0.002574823353754579
cloud_wind_interaction,0.0024296116662295268
month_9,0.002357461235875109
hour_16,0.0021691016032062593
nbas,0.0021328342607237973
month_5,0.0018775531152019787
site_name_Face 104 rue d'Aubervilliers,0.0018729521517648362
u_lag_2,0.0018670953872464188
rr12,0.0018528146228002098
hour_17,0.0018159765673681416
month_4,0.001760446358705591
counter_technical_id_Y2H18086321,0.0016594398908146956
counter_technical_id_Y2H19070373,0.0016493886371947335
month_10,0.001601797961151312
counter_name_20 Avenue de Clichy SE-NO,0.001576011262113717
counter_name_67 boulevard Voltaire SE-NO,0.0015653575393200817
counter_technical_id_Y2H18034809,0.0015585818310516319
site_name_152 boulevard du Montparnasse,0.0015581843976130167
site_name_67 boulevard Voltaire SE-NO,0.001520554222806249
u_lag_1,0.0015185970594060133
counter_name_Face au 4 avenue de la porte de Bagnolet O-E,0.0014767259904523897
etat_sol_0.0,0.0013811997395135305
rr6,0.0013259096319154836
month_6,0.0012897851264683827
counter_name_90 Rue De Sèvres SO-NE,0.0012156981496891008
counter_name_Totem Cours la Reine E-O,0.0011758932517378794
counter_name_27 quai de la Tournelle SE-NO,0.001134299645253827
pres,0.00111861770029361
pres_lag_3,0.0011179667262726399
pres_lag_2,0.00111782416921899
raf10_lag_3,0.001097090641596265
ff_lag_3,0.0010964744999300779
pmer,0.001092836937068106
hour_18,0.0010615412261177869
counter_name_20 Avenue de Clichy NO-SE,0.0010599019938735766
pmer_lag_1,0.0010550545560030933
pmer_lag_3,0.0010517568807108398
ff_lag_2,0.0010410652032251334
ff_lag_1,0.0010358082546909446
rr3,0.0010356675397236662
raf10_lag_2,0.0010330535339795487
pres_lag_1,0.001027654361653942
raf10,0.0010252684666141505
pmer_lag_2,0.00100965838728604
counter_technical_id_Y2H19070357,0.001006705324670233
site_name_Pont des Invalides S-N,0.00099425537994762
counter_name_90 Rue De Sèvres NE-SO,0.0009874523334600105
raf10_lag_1,0.000986229120521158
counter_name_Pont des Invalides S-N,0.0009839838926426106
counter_name_Face au 8 avenue de la porte de Charenton NO-SE,0.0009455850386769468
counter_name_Voie Georges Pompidou NE-SO,0.00094151034937566
day_of_week_0,0.0009375612859489514
counter_name_Totem 64 Rue de Rivoli O-E,0.0009355684205551742
site_name_27 quai de la Tournelle,0.0008736031743681811
month_11,0.0008537427453071563
counter_technical_id_YTH19111508,0.0008109828611331528
hour_8,0.000788606004667914
day_of_week_4,0.0007872313332517629
counter_name_Face au 70 quai de Bercy S-N,0.0007791122174047148
site_name_Totem 85 quai d'Austerlitz,0.0007777939011873105
counter_technical_id_Y2H19070383,0.0007716214665910125
interaction_precipitation_temperature,0.0007365832838927123
counter_name_Face au 70 quai de Bercy N-S,0.0007306958814250999
counter_name_18 quai de l'Hôtel de Ville NO-SE,0.0006990868127887431
month_7,0.0006901881861631094
hour_15,0.0006633291052057056
month_12,0.0006602950174707843
site_name_Pont des Invalides N-S,0.000622862535181665
counter_technical_id_Y2H19070365,0.0006000934813050751
ww_3,0.0005896921770840555
year_2020,0.000583568492343645
cod_tend_3,0.0005774204806328901
cod_tend_6,0.0005739281758299673
counter_name_Pont des Invalides N-S,0.0005707464656889399
counter_name_38 rue Turbigo SO-NE,0.0005633639290896033
year_2021,0.0005580678825556321
counter_name_Face au 4 avenue de la porte de Bagnolet E-O,0.0005524018370326927
counter_name_36 quai de Grenelle NE-SO,0.0005462401844706706
ww_1,0.0005435218392656333
counter_name_152 boulevard du Montparnasse O-E,0.0005398340534059251
hour_9,0.0005215965025295853
counter_name_6 rue Julia Bartet NE-SO,0.0005070113115508594
counter_name_Totem 85 quai d'Austerlitz SE-NO,0.0004915653061669735
counter_name_Quai d'Orsay E-O,0.0004881204095684896
day_of_week_1,0.00047791170995467813
counter_name_Voie Georges Pompidou SO-NE,0.0004544734941213864
month_1,0.0004420444147239718
ww_2,0.0004419537848840047
counter_name_152 boulevard du Montparnasse E-O,0.00044024029264043315
cod_tend_8,0.0004237780982124475
day_of_week_3,0.00042168545464805855
day_of_week_2,0.0004141508334729294
site_name_Face au 25 quai de l'Oise,0.00041401823836587944
counter_name_Totem Cours la Reine O-E,0.0004110524344499258
site_name_18 quai de l'Hôtel de Ville,0.0003862497539396058
counter_name_Totem 64 Rue de Rivoli E-O,0.00038542273879938165
counter_name_6 rue Julia Bartet SO-NE,0.00038391564065946084
site_name_Face au 48 quai de la marne,0.00037626828372649886
cod_tend_5,0.0003698428143523821
cod_tend_1,0.00036724838970751266
etat_sol_1.0,0.00036446819483477137
counter_name_254 rue de Vaugirard NE-SO,0.0003604566879175477
counter_name_36 quai de Grenelle SO-NE,0.0003583718914704639
counter_technical_id_Y2H19027732,0.0003469859193313101
ht_neige,0.00034237229289214627
counter_technical_id_Y2H18086318,0.00034182479610848714
hour_10,0.0003403026812412184
counter_name_Face au 48 quai de la marne SO-NE,0.00033123940963262767
counter_name_Face 104 rue d'Aubervilliers S-N,0.000325953011898965
site_name_Quai d'Orsay,0.00032208972599771915
counter_technical_id_Y2H18086324,0.00031790500675067874
